* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 1, 2026 1:34:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
36.000000 108.405 167.7561
36.500000 108.386 167.3243
37.000000 108.366 166.8883
37.500000 108.344 166.4582
38.200001 108.312 165.8802
38.700001 108.289 165.4809
39.500000 108.252 164.8501
40.000000 108.229 164.4605
40.599998 108.201 163.9991
41.200001 108.172 163.5434
41.799999 108.143 163.0939
42.500000 108.108 162.5782
43.099998 108.079 162.1418
43.700001 108.049 161.7094
44.400002 108.013 161.2122
45.000000 107.983 160.7926
45.500000 107.957 160.4485
46.200001 107.920 159.9777
46.799999 107.889 159.5836
47.500000 107.852 159.1297
48.200001 107.816 158.6800
48.700001 107.790 158.3625
49.400002 107.753 157.9223
50.000000 107.721 157.5470
50.799999 107.676 157.0546
51.500000 107.636 156.6413
52.200001 107.598 156.2399
53.000000 107.557 155.7742
53.799999 107.512 155.3076
54.500000 107.473 154.9161
55.200001 107.434 154.5310
56.000000 107.388 154.1022
57.000000 107.334 153.5931
58.000000 107.278 153.0446
59.000000 107.214 152.5779
60.000000 107.168 152.1234
60.799999 107.126 151.6532
61.500000 107.077 151.2905
62.200001 107.033 150.9928
63.000000 106.991 150.6152
64.000000 106.930 150.1229
65.000000 106.871 149.6968
66.000000 106.817 149.2426
67.000000 106.758 148.7980
68.000000 106.701 148.3829
69.000000 106.645 147.9581
70.000000 106.586 147.5324
71.000000 106.526 147.1353
72.000000 106.467 146.7425
73.000000 106.408 146.3542
74.000000 106.350 145.9819
75.000000 106.294 145.6111
76.199997 106.224 145.1595
77.500000 106.148 144.7078
78.800003 106.075 144.2600
80.000000 106.006 143.8498
81.199997 105.936 143.4430
82.500000 105.859 143.0269
83.800003 105.785 142.6242
85.000000 105.717 142.2458
86.199997 105.646 141.8864
87.500000 105.575 141.5097
88.500000 105.518 141.2051
90.000000 105.432 140.7822
91.199997 105.364 140.4522
92.500000 105.292 140.1075
93.800003 105.220 139.7647
95.000000 105.153 139.4469
96.199997 105.086 139.1481
97.500000 105.015 138.8338
98.800003 104.945 138.5005
100.000000 104.875 138.2086
101.500000 104.794 137.8898
103.000000 104.710 137.5425
104.400002 104.634 137.2528
106.000000 104.549 136.9033
107.500000 104.468 136.5713
109.000000 104.389 136.2731
110.599998 104.302 135.9644
112.000000 104.230 135.7160
113.800003 104.134 135.3803
115.000000 104.069 135.1312
117.199997 103.959 134.6971
118.000000 103.914 134.6046
120.599998 103.777 133.9653
122.000000 103.715 133.9730
124.099998 103.608 133.6779
125.000000 103.564 133.5241
126.500000 103.486 133.3060
128.000000 103.409 133.0727
131.500000 103.240 132.6027
132.000000 103.217 132.5289
134.000000 103.115 132.2737
136.000000 103.022 132.0316
138.000000 102.924 131.7969
140.000000 102.831 131.5630
143.000000 102.691 131.2575
145.000000 102.598 130.9991
147.500000 102.486 130.7823
150.000000 102.372 130.5377
152.500000 102.260 130.2854
155.000000 102.152 130.0417
157.500000 102.041 129.8467
160.000000 101.930 129.6510
162.500000 101.820 129.4406
165.000000 101.713 129.2313
167.500000 101.612 129.0604
170.000000 101.503 128.9051
172.500000 101.400 128.7519
175.000000 101.295 128.6080
177.500000 101.190 128.4587
180.000000 101.077 128.2875
182.500000 100.990 128.1897
185.000000 100.894 128.0707
187.500000 100.797 127.9781
190.000000 100.699 127.8657
192.500000 100.602 127.7770
195.000000 100.506 127.6687
197.500000 100.408 127.5976
200.000000 100.314 127.5228
203.000000 100.205 127.4542
206.000000 100.087 127.3438
209.000000 99.974 127.3240
212.000000 99.873 127.2935
214.000000 99.799 127.3174
218.000000 99.671 127.2563
220.000000 99.606 127.2557
224.000000 99.490 127.2268
227.000000 99.391 127.0958
230.000000 99.301 127.0561
233.000000 99.214 126.9915
236.000000 99.093 126.9509
240.000000 98.934 126.8448
243.000000 98.879 126.8141
247.000000 98.758 126.8174
250.000000 98.662 126.8456
254.000000 98.533 126.8000
258.000000 98.410 126.8437
262.000000 98.293 126.8475
265.000000 98.202 126.8426
269.000000 98.087 126.8561
272.000000 98.001 126.8703
276.000000 97.887 126.8968
280.000000 97.772 126.9460
285.000000 97.628 126.9875
290.000000 97.488 127.0688
295.000000 97.352 127.1447
300.000000 97.218 127.2686
304.000000 97.108 127.3411
307.000000 97.031 127.4127
311.000000 96.924 127.4986
315.000000 96.827 127.5909
320.000000 96.700 127.7458
325.000000 96.576 127.8710
330.000000 96.455 127.9951
335.000000 96.336 128.1136
340.000000 96.216 128.2296
345.000000 96.096 128.3629
350.000000 95.979 128.5108
355.000000 95.855 128.6349
360.000000 95.750 128.6900
365.000000 95.630 129.0143
370.000000 95.511 129.1663
375.000000 95.399 129.3581
382.000000 95.247 129.6044
387.000000 95.139 129.8078
395.000000 94.965 130.1483
400.000000 94.859 130.3410
406.000000 94.737 130.6211
412.000000 94.615 130.8617
418.000000 94.489 131.1408
425.000000 94.350 131.4740
431.000000 94.232 131.7534
437.000000 94.115 132.0312
444.000000 93.982 132.3926
450.000000 93.867 132.6782
455.000000 93.775 132.9346
462.000000 93.643 133.3025
468.000000 93.535 133.6165
475.000000 93.408 134.0063
482.000000 93.287 134.3517
487.000000 93.202 134.6421
494.000000 93.076 135.0491
500.000000 92.975 135.3979
508.000000 92.841 135.8294
515.000000 92.726 136.2458
522.000000 92.614 136.6406
530.000000 92.485 137.1061
538.000000 92.357 137.5875
545.000000 92.248 137.9947
552.000000 92.125 138.3976
560.000000 91.989 138.9923
570.000000 91.854 139.7193
580.000000 91.714 140.3883
590.000000 91.572 140.9979
600.000000 91.402 141.6932
608.000000 91.319 142.2278
615.000000 91.225 142.6967
622.000000 91.127 143.1953
630.000000 91.018 143.7159
640.000000 90.872 144.4662
650.000000 90.727 145.3643
660.000000 90.634 146.1918
670.000000 90.538 146.9344
680.000000 90.417 147.6332
690.000000 90.304 148.3895
700.000000 90.190 149.1034
710.000000 90.073 149.8829
720.000000 89.974 150.5397
730.000000 89.854 151.4488
740.000000 89.756 152.2816
750.000000 89.658 153.1339
762.000000 89.539 154.0861
775.000000 89.421 155.1968
788.000000 89.303 156.3073
800.000000 89.201 157.3589
812.000000 89.097 158.3459
825.000000 88.998 159.5126
838.000000 88.900 160.6818
850.000000 88.819 161.7429
862.000000 88.737 162.7906
875.000000 88.657 163.9570
885.000000 88.599 164.8314
900.000000 88.530 166.3713
912.000000 88.463 167.2991
925.000000 88.407 168.5004
938.000000 88.346 169.6212
950.000000 88.309 170.6838
962.000000 88.269 171.7247
975.000000 88.231 172.8591
988.000000 88.195 173.9780
1000.000000 88.173 174.9875
1015.000000 88.146 176.2327
1030.000000 88.127 177.4102
1044.000000 88.109 178.5327
1060.000000 88.092 179.7061
1075.000000 88.075 -179.1887
1090.000000 88.073 -178.1072
1106.000000 88.061 -176.9886
1120.000000 88.054 -176.0349
1138.000000 88.038 -174.8636
1150.000000 88.029 -174.0988
1172.000000 88.019 -172.7438
1180.000000 88.013 -172.2285
1206.000000 87.988 -170.6676
1220.000000 87.965 -169.8193
1241.000000 87.934 -168.5748
1250.000000 87.919 -168.0172
1265.000000 87.893 -167.0678
1280.000000 87.864 -166.1895
1315.000000 87.784 -163.9712
1320.000000 87.755 -163.7049
1340.000000 87.715 -162.3086
1360.000000 87.661 -160.8339
1380.000000 87.594 -159.3207
1400.000000 87.562 -157.7788
1430.000000 87.500 -155.2463
1450.000000 87.461 -153.4413
1475.000000 87.422 -151.0700
1500.000000 87.425 -148.4540
1525.000000 87.421 -145.7801
1550.000000 87.466 -142.9956
1575.000000 87.559 -140.0511
1600.000000 87.694 -137.0493
1625.000000 87.885 -134.1102
1650.000000 88.129 -131.1870
1675.000000 88.426 -128.4944
1700.000000 88.774 -125.9787
1725.000000 89.153 -123.8361
1750.000000 89.573 -122.1086
1775.000000 90.003 -120.7682
1800.000000 90.425 -119.7682
1825.000000 90.837 -119.3113
1850.000000 91.215 -119.0586
1875.000000 91.574 -119.0997
1900.000000 91.886 -119.3159
1925.000000 92.163 -119.6357
1950.000000 92.405 -120.0613
1975.000000 92.615 -120.4539
2000.000000 92.795 -120.8548
2030.000000 92.985 -121.2840
2060.000000 93.142 -121.5776
2090.000000 93.287 -121.7401
2120.000000 93.427 -121.8279
2140.000000 93.519 -121.9117
2180.000000 93.680 -121.9386
2200.000000 93.754 -121.9260
2240.000000 93.910 -121.7455
2270.000000 94.029 -121.5743
2300.000000 94.153 -121.3935
2330.000000 94.273 -121.2208
2360.000000 94.392 -121.0163
2400.000000 94.560 -120.6423
2430.000000 94.691 -120.4732
2470.000000 94.874 -120.1998
2500.000000 95.007 -120.0963
2540.000000 95.183 -119.9298
2580.000000 95.346 -119.8044
2620.000000 95.498 -119.6957
2650.000000 95.605 -119.5336
2690.000000 95.759 -119.1992
2720.000000 95.886 -118.9438
2760.000000 96.071 -118.6401
2800.000000 96.260 -118.4238
2850.000000 96.504 -118.1729
2900.000000 96.769 -118.0048
2950.000000 97.044 -118.0141
3000.000000 97.325 -118.1671
3040.000000 97.543 -118.4432
3070.000000 97.706 -118.7094
3110.000000 97.916 -119.1557
3150.000000 98.116 -119.6966
3200.000000 98.351 -120.4936
3250.000000 98.564 -121.3860
3300.000000 98.754 -122.3050
3350.000000 98.933 -123.2608
3400.000000 99.088 -124.2366
3450.000000 99.227 -125.1985
3500.000000 99.352 -126.1118
3550.000000 99.465 -127.0130
3600.000000 99.578 -127.8138
3650.000000 99.681 -128.6140
3700.000000 99.780 -129.3754
3750.000000 99.886 -130.0847
3820.000000 100.045 -131.0775
3870.000000 100.174 -131.8473
3950.000000 100.428 -133.4537
4000.000000 100.627 -135.2980
4060.000000 100.517 -140.9644
4120.000000 99.260 -137.8966
4180.000000 99.927 -132.5684
4250.000000 100.509 -132.8884
4310.000000 100.862 -133.6277
4370.000000 101.188 -134.5172
4440.000000 101.555 -135.8425
4500.000000 101.854 -137.2227
4550.000000 102.092 -138.2222
4620.000000 102.535 -139.5533
4680.000000 103.015 -141.5267
4750.000000 103.580 -145.0797
4820.000000 104.078 -149.8344
4870.000000 104.365 -153.8960
4940.000000 104.634 -160.4212
5000.000000 104.703 -166.5678
5080.000000 104.517 -175.0505
5150.000000 104.097 177.8658
5220.000000 103.481 171.6462
5300.000000 102.614 165.8573
5380.000000 101.667 161.5383
5450.000000 100.822 158.8267
5520.000000 99.990 156.9791
5600.000000 99.077 155.7290
5700.000000 98.013 155.1613
5800.000000 97.040 155.4659
5900.000000 96.163 156.4156
6000.000000 95.385 157.8451
6080.000000 94.814 159.2670
6150.000000 94.366 160.6569
6220.000000 93.957 162.0843
6300.000000 93.531 163.8461
6400.000000 93.060 166.1147
6500.000000 92.654 168.5014
6600.000000 92.305 171.0789
6700.000000 92.038 173.6782
6800.000000 91.850 176.2950
6900.000000 91.747 178.8951
7000.000000 91.720 -178.6859
7100.000000 91.800 -176.4115
7200.000000 91.961 -174.4961
7300.000000 92.196 -173.0078
7400.000000 92.523 -172.0207
7500.000000 92.942 -171.5650
7620.000000 93.566 -172.0615
7750.000000 94.405 -174.5734
7880.000000 95.346 179.7938
8000.000000 96.072 170.8835
8120.000000 96.341 158.5831
8250.000000 95.749 143.9100
8380.000000 94.368 131.5210
8500.000000 92.743 123.5456
8620.000000 91.011 118.5238
8750.000000 89.205 115.9202
8850.000000 87.886 115.2056
9000.000000 86.128 115.7311
9120.000000 84.852 117.2155
9250.000000 83.599 119.1788
9380.000000 82.473 121.6123
9500.000000 81.502 124.0931
9620.000000 80.643 126.9117
9750.000000 79.775 129.9560
9880.000000 79.013 133.1289
10000.000000 78.366 136.2383
10150.000000 77.519 143.5293
10300.000000 76.973 143.9049
10440.000000 76.484 147.5809
10600.000000 75.977 151.5131
10750.000000 75.599 154.5565
10900.000000 75.182 158.1348
11060.000000 74.868 161.3934
11200.000000 74.598 164.7151
11380.000000 74.428 168.2272
11500.000000 74.283 170.5799
11720.000000 74.159 175.2410
11800.000000 74.169 176.5332
