* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 1, 2026 1:33:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
38.700001 105.823 -178.2123
39.500000 105.806 -178.9759
40.000000 105.795 -179.4423
40.599998 105.783 -179.9992
41.200001 105.770 179.4506
41.799999 105.757 178.9095
42.500000 105.741 178.2859
43.099998 105.726 177.7605
43.700001 105.710 177.2513
44.400002 105.694 176.6724
45.000000 105.680 176.1725
45.500000 105.666 175.7524
46.200001 105.643 175.1829
46.799999 105.623 174.7286
47.500000 105.604 174.2145
48.200001 105.586 173.6799
48.700001 105.570 173.2911
49.400002 105.545 172.7711
50.000000 105.525 172.3525
50.799999 105.502 171.7939
51.500000 105.480 171.2875
52.200001 105.456 170.7917
53.000000 105.428 170.2531
53.799999 105.401 169.7146
54.500000 105.375 169.2538
55.200001 105.350 168.8220
56.000000 105.324 168.3178
57.000000 105.286 167.6831
58.000000 105.254 167.1017
59.000000 105.218 166.4075
60.000000 105.160 165.8469
60.799999 105.134 165.4989
61.500000 105.119 165.0935
62.200001 105.093 164.6558
63.000000 105.059 164.2197
64.000000 105.021 163.6765
65.000000 104.979 163.1454
66.000000 104.941 162.6345
67.000000 104.900 162.1183
68.000000 104.860 161.6266
69.000000 104.820 161.1179
70.000000 104.776 160.6300
71.000000 104.734 160.1749
72.000000 104.696 159.7162
73.000000 104.655 159.2579
74.000000 104.615 158.8179
75.000000 104.574 158.3705
76.199997 104.521 157.8613
77.500000 104.468 157.3328
78.800003 104.413 156.7727
80.000000 104.359 156.2885
81.199997 104.309 155.8016
82.500000 104.249 155.2766
83.800003 104.194 154.8133
85.000000 104.145 154.3534
86.199997 104.093 153.9140
87.500000 104.036 153.4444
88.500000 103.992 153.1062
90.000000 103.924 152.5937
91.199997 103.874 152.2081
92.500000 103.816 151.7673
93.800003 103.763 151.3462
95.000000 103.711 150.9337
96.199997 103.655 150.5321
97.500000 103.592 150.1821
98.800003 103.543 149.7987
100.000000 103.492 149.4347
101.500000 103.428 148.9703
103.000000 103.358 148.5514
104.400002 103.297 148.1917
106.000000 103.229 147.7572
107.500000 103.165 147.3688
109.000000 103.100 146.9485
110.599998 103.032 146.5807
112.000000 102.974 146.2147
113.800003 102.896 145.8147
115.000000 102.841 145.5049
117.199997 102.747 144.9419
118.000000 102.712 144.8042
120.599998 102.573 144.1176
122.000000 102.546 143.9259
124.099998 102.461 143.5412
125.000000 102.419 143.3220
126.500000 102.355 143.0625
128.000000 102.287 142.7780
131.500000 102.143 142.0966
132.000000 102.123 142.0034
134.000000 102.037 141.6658
136.000000 101.957 141.3367
138.000000 101.873 140.9868
140.000000 101.794 140.6329
143.000000 101.674 140.1793
145.000000 101.593 139.8808
147.500000 101.491 139.5123
150.000000 101.394 139.1689
152.500000 101.295 138.7948
155.000000 101.196 138.4627
157.500000 101.099 138.1743
160.000000 100.998 137.8215
162.500000 100.900 137.5115
165.000000 100.809 137.2089
167.500000 100.721 136.9397
170.000000 100.622 136.6834
172.500000 100.528 136.4569
175.000000 100.432 136.1718
177.500000 100.342 135.9276
180.000000 100.263 135.6271
182.500000 100.165 135.4857
185.000000 100.069 135.2993
187.500000 99.981 135.0781
190.000000 99.891 134.9066
192.500000 99.798 134.7489
195.000000 99.710 134.5342
197.500000 99.624 134.3554
200.000000 99.536 134.1451
203.000000 99.428 133.9837
206.000000 99.325 133.8502
209.000000 99.218 133.6450
212.000000 99.121 133.4861
214.000000 99.049 133.4590
218.000000 98.920 133.2690
220.000000 98.859 133.2014
224.000000 98.722 133.0124
227.000000 98.658 132.9795
230.000000 98.557 132.8372
233.000000 98.473 132.8227
236.000000 98.394 132.5878
240.000000 98.256 132.8517
243.000000 98.179 132.4636
247.000000 98.072 132.2308
250.000000 97.978 132.1684
254.000000 97.853 131.9970
258.000000 97.736 131.9144
262.000000 97.621 131.8386
265.000000 97.532 131.7607
269.000000 97.415 131.7144
272.000000 97.329 131.6129
276.000000 97.218 131.5679
280.000000 97.100 131.5378
285.000000 96.963 131.5229
290.000000 96.826 131.4722
295.000000 96.687 131.5066
300.000000 96.547 131.5117
304.000000 96.447 131.5784
307.000000 96.364 131.5829
311.000000 96.261 131.6559
315.000000 96.157 131.7487
320.000000 96.040 131.8613
325.000000 95.934 131.9868
330.000000 95.822 132.0294
335.000000 95.716 132.0831
340.000000 95.605 132.1018
345.000000 95.495 132.1127
350.000000 95.373 132.1537
355.000000 95.254 132.2003
360.000000 95.123 132.2880
365.000000 95.024 132.3270
370.000000 94.918 132.4777
375.000000 94.800 132.5673
382.000000 94.646 132.7455
387.000000 94.538 132.8930
395.000000 94.366 133.0960
400.000000 94.264 133.2325
406.000000 94.136 133.4313
412.000000 94.014 133.6542
418.000000 93.891 133.8238
425.000000 93.754 134.0691
431.000000 93.631 134.2939
437.000000 93.510 134.4878
444.000000 93.371 134.7643
450.000000 93.253 135.0004
455.000000 93.160 135.2153
462.000000 93.030 135.5330
468.000000 92.915 135.7914
475.000000 92.794 136.1176
482.000000 92.662 136.4470
487.000000 92.580 136.6599
494.000000 92.461 136.9567
500.000000 92.358 137.2244
508.000000 92.218 137.5298
515.000000 92.095 137.7132
522.000000 91.938 137.7700
530.000000 91.614 138.5429
538.000000 91.581 140.1573
545.000000 91.540 140.5753
552.000000 91.465 140.9112
560.000000 91.367 141.3238
570.000000 91.244 141.8605
580.000000 91.130 142.2603
590.000000 90.989 142.5030
600.000000 90.831 142.9667
608.000000 90.659 143.4280
615.000000 90.543 143.9532
622.000000 90.432 144.5059
630.000000 90.318 145.1198
640.000000 90.183 145.8653
650.000000 90.043 146.5932
660.000000 89.907 147.3067
670.000000 89.791 148.1172
680.000000 89.669 148.8531
690.000000 89.544 149.6591
700.000000 89.425 150.4393
710.000000 89.307 151.2322
720.000000 89.201 152.2000
730.000000 89.085 152.8472
740.000000 88.975 153.6413
750.000000 88.873 154.4940
762.000000 88.752 155.5061
775.000000 88.625 156.6144
788.000000 88.498 157.7607
800.000000 88.389 158.8018
812.000000 88.280 159.8800
825.000000 88.175 161.0596
838.000000 88.070 162.2129
850.000000 87.980 163.4185
862.000000 87.897 164.4568
875.000000 87.812 165.6710
885.000000 87.750 166.6480
900.000000 87.681 168.0557
912.000000 87.601 169.1896
925.000000 87.541 170.4378
938.000000 87.478 171.6514
950.000000 87.428 172.7945
962.000000 87.385 173.9285
975.000000 87.350 175.1531
988.000000 87.311 176.3078
1000.000000 87.291 177.3665
1015.000000 87.255 178.7284
1030.000000 87.234 -179.9588
1044.000000 87.216 -178.7480
1060.000000 87.198 -177.4426
1075.000000 87.186 -176.2068
1090.000000 87.175 -175.0123
1106.000000 87.171 -173.7519
1120.000000 87.170 -172.6898
1138.000000 87.161 -171.3760
1150.000000 87.155 -170.4968
1172.000000 87.149 -168.9191
1180.000000 87.154 -168.3735
1206.000000 87.134 -166.5356
1220.000000 87.125 -165.6115
1241.000000 87.111 -164.1697
1250.000000 87.100 -163.5192
1265.000000 87.087 -162.4685
1280.000000 87.067 -161.4094
1315.000000 87.018 -158.8188
1320.000000 86.994 -158.4600
1340.000000 86.994 -156.9464
1360.000000 86.967 -155.2650
1380.000000 86.950 -153.7643
1400.000000 86.931 -151.9170
1430.000000 86.914 -149.1743
1450.000000 86.908 -147.2814
1475.000000 86.920 -144.7966
1500.000000 86.941 -142.0448
1525.000000 87.012 -139.3915
1550.000000 87.108 -136.5630
1575.000000 87.241 -133.6727
1600.000000 87.402 -130.7710
1625.000000 87.605 -127.8456
1650.000000 87.856 -125.0000
1675.000000 88.153 -122.2702
1700.000000 88.487 -119.6927
1725.000000 88.855 -117.3575
1750.000000 89.262 -115.1350
1775.000000 89.689 -113.2825
1800.000000 90.137 -111.6870
1825.000000 90.611 -110.3119
1850.000000 91.086 -109.3494
1875.000000 91.558 -108.6672
1900.000000 92.033 -108.2464
1925.000000 92.494 -108.1879
1950.000000 92.937 -108.3931
1975.000000 93.363 -108.8500
2000.000000 93.757 -109.5542
2030.000000 94.196 -110.6300
2060.000000 94.580 -111.9628
2090.000000 94.907 -113.4155
2120.000000 95.180 -114.9267
2140.000000 95.341 -115.9535
2180.000000 95.595 -117.9676
2200.000000 95.687 -118.9509
2240.000000 95.819 -120.6434
2270.000000 95.886 -121.6157
2300.000000 95.942 -122.4153
2330.000000 96.001 -123.0870
2360.000000 96.054 -123.5723
2400.000000 96.128 -124.0926
2430.000000 96.185 -124.4500
2470.000000 96.261 -124.7436
2500.000000 96.320 -124.8841
2540.000000 96.411 -124.9460
2580.000000 96.517 -124.9640
2620.000000 96.643 -124.8893
2650.000000 96.750 -124.8483
2690.000000 96.904 -124.8481
2720.000000 97.030 -124.9190
2760.000000 97.194 -125.0526
2800.000000 97.363 -125.2878
2850.000000 97.579 -125.6649
2900.000000 97.789 -126.1553
2950.000000 97.993 -126.7448
3000.000000 98.184 -127.4368
3040.000000 98.328 -128.0437
3070.000000 98.437 -128.5042
3110.000000 98.565 -129.1726
3150.000000 98.688 -129.8392
3200.000000 98.833 -130.6857
3250.000000 98.965 -131.5353
3300.000000 99.079 -132.3527
3350.000000 99.193 -133.1749
3400.000000 99.298 -133.9489
3450.000000 99.394 -134.6606
3500.000000 99.495 -135.3216
3550.000000 99.595 -135.9304
3600.000000 99.705 -136.4800
3650.000000 99.821 -137.0148
3700.000000 99.956 -137.5534
3750.000000 100.109 -138.0977
3820.000000 100.362 -139.0586
3870.000000 100.578 -140.0215
3950.000000 100.969 -143.2232
4000.000000 100.604 -148.5931
4060.000000 100.352 -141.0506
4120.000000 101.091 -141.4965
4180.000000 101.567 -143.1795
4250.000000 102.056 -145.5596
4310.000000 102.467 -148.0673
4370.000000 102.873 -151.0965
4440.000000 103.322 -155.5282
4500.000000 103.645 -160.1183
4550.000000 103.849 -164.4797
4620.000000 103.988 -171.3444
4680.000000 103.940 -177.6663
4750.000000 103.654 174.8826
4820.000000 103.132 167.8646
4870.000000 102.634 163.3772
4940.000000 101.817 158.0948
5000.000000 101.050 154.5442
5080.000000 99.998 151.1219
5150.000000 99.093 149.1577
5220.000000 98.220 148.0117
5300.000000 97.285 147.3828
5380.000000 96.414 147.3804
5450.000000 95.695 147.7794
5520.000000 95.015 148.4641
5600.000000 94.295 149.5286
5700.000000 93.449 151.2431
5800.000000 92.687 153.4041
5900.000000 91.994 155.9457
6000.000000 91.389 158.6814
6080.000000 90.978 160.9752
6150.000000 90.651 162.9976
6220.000000 90.352 165.0344
6300.000000 90.057 167.3359
6400.000000 89.721 170.1846
6500.000000 89.466 173.0543
6600.000000 89.252 175.9022
6700.000000 89.096 178.6520
6800.000000 88.999 -178.5839
6900.000000 88.958 -175.8334
7000.000000 88.997 -173.1365
7100.000000 89.109 -170.6037
7200.000000 89.330 -168.2455
7300.000000 89.645 -166.2249
7400.000000 90.080 -164.7524
7500.000000 90.654 -163.9480
7620.000000 91.513 -164.4595
7750.000000 92.633 -167.8504
7880.000000 93.788 -175.7776
8000.000000 94.463 172.0553
8120.000000 94.275 157.0224
8250.000000 92.980 142.5948
8380.000000 91.153 133.2759
8500.000000 89.394 128.3388
8620.000000 87.731 125.8609
8750.000000 86.053 125.2582
8850.000000 84.893 125.7066
9000.000000 83.336 127.3553
